SMM_GRP,SMM_DESC,DX_OR_PX,CODE_TYPE,CODE,CODE_DIG ,CODE_DESC
AMI,Acute myocardial infarction,DX,09,410,0,
,,DX,10,I21,0,Acute myocardial infarction
,,,,I22,0,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
ANE,Aneurysm,,09,441,0,
,,,10,I71,0,
,,,10,I79.0,1,
ARF,Acute renal failure,,,,,
,,,,,,
,Adult respiratory distress syndrome,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Amniotic fluid embolism,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Cardiac arrest / ventricular fibrillation,,,,,
,,,,,,
,,,,,,
,Conversion of cardiac rhythm,,,,,
,,,,,,
,Disseminated intravascular coagulation,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,9. Eclampsia,,,,,
,10. Heart failure / arrest during surgery or procedure,,,,,
,,,,,,
,,,,,,
,,,,,,
,11. Puerperal cerebrovascular disorders,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,12. Pulmonary edema / Acute heart failure,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,13. Severe anesthesia complications,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,14. Sepsis,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,15. Shock,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,16. Sickle cell disease with crisis,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,17. Air and thrombotic embolism,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,18. Blood products transfusion,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,19. Hysterectomy,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,20. Temporary tracheostomy,,,,,
,,,,,,
,,,,,,
,21. Ventilation,,,,,
